mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,mean,src
weight_test1.0,0,1.05,0.6,1.5,1.8807216882705688,3.0963889956474304,3.5865895748138428,6.669858932495117,0.0023622058797627687,chunk_0
weight_test1.0,0,1.05,0.8,0.1,5.254172325134277,7.644755065441132,2.6271941661834717,2.9779365062713623,0.0024077831767499447,chunk_0
weight_test1.0,0,1.05,0.8,0.5,4.17308235168457,5.349584460258484,3.494173526763916,4.76334285736084,0.0024151483085006475,chunk_0
weight_test1.0,0,1.05,0.8,1.0,2.7523741722106934,3.220675826072693,3.8218367099761963,6.922736644744873,0.002396934200078249,chunk_0
weight_test1.0,0,1.05,0.8,1.5,1.9267232418060303,2.926754057407379,3.708477735519409,7.528441429138184,0.0023512705229222775,chunk_0
weight_test1.0,0,1.05,1.0,0.1,5.819243907928467,7.593120574951172,2.6773486137390137,2.931150436401367,0.0023868936114013195,chunk_0
weight_test1.0,0,1.05,1.0,0.5,5.34506893157959,7.970579147338867,3.905647039413452,5.856295108795166,0.0024252780713140965,chunk_0
weight_test1.0,0,1.05,1.0,1.0,4.751471519470215,7.133167266845703,4.159817218780518,7.9169721603393555,0.0024065093602985144,chunk_0
weight_test1.0,0,1.05,1.0,1.5,3.8830435276031494,5.678103685379028,5.074686527252197,10.949161529541016,0.002356757642701268,chunk_0
weight_test5.0,0,0.6,0.6,0.1,4.430206298828125,4.775550961494446,1.507840871810913,1.5613679885864258,0.0013437536545097828,chunk_0
weight_test5.0,0,0.6,0.6,0.5,3.80629825592041,5.080883026123047,1.8690307140350342,2.3881900310516357,0.0013549260329455137,chunk_0
weight_test5.0,0,0.6,0.6,1.0,4.210242748260498,5.754287123680115,2.108341693878174,3.2572953701019287,0.001355043612420559,chunk_0
weight_test5.0,0,0.6,0.6,1.5,3.0912957191467285,3.760172188282013,2.2666726112365723,4.026252746582031,0.0014015238266438246,chunk_0
weight_test5.0,0,0.6,0.8,0.1,4.686748504638672,5.102411925792694,1.6401039361953735,1.7002474069595337,0.001361630973406136,chunk_0
weight_test5.0,0,0.6,0.8,0.5,4.7683234214782715,6.51967316865921,1.9594413042068481,2.5441582202911377,0.0013773373793810606,chunk_0
weight_test5.0,0,0.6,0.8,1.0,3.6276931762695312,5.6699129939079285,2.1891860961914062,3.5413246154785156,0.0013845899375155568,chunk_0
weight_test5.0,0,0.6,0.8,1.5,1.5823618173599243,2.406000792980194,2.382289171218872,4.055675983428955,0.0013116095215082169,chunk_0
weight_test5.0,0,0.6,1.0,0.1,5.091242790222168,5.801782250404358,1.6513442993164062,1.7188419103622437,0.0013823487097397447,chunk_0
weight_test5.0,0,0.6,1.0,0.5,4.754077434539795,7.097944915294647,2.119429349899292,2.9070427417755127,0.0013631463516503572,chunk_0
weight_test5.0,0,0.6,1.0,1.0,3.367086410522461,4.988761246204376,2.4532220363616943,4.14193868637085,0.0013593172188848257,chunk_0
weight_test5.0,0,0.6,1.0,1.5,3.0518574714660645,4.238500118255615,2.616997241973877,4.709702014923096,0.0013482095673680305,chunk_0
weight_test5.0,0,0.8,0.6,0.1,5.15504789352417,5.60063248872757,2.177551031112671,2.23171067237854,0.001819307217374444,chunk_0
weight_test5.0,0,0.8,0.6,0.5,2.240675926208496,3.393170416355133,2.0319664478302,2.7640788555145264,0.0018571007531136274,chunk_0
weight_test5.0,0,0.8,0.6,1.0,2.2199082374572754,4.030411958694458,2.916015386581421,4.627253532409668,0.0018442383734509349,chunk_0
weight_test5.0,0,0.8,0.6,1.5,1.361010193824768,2.4544655680656433,2.8346829414367676,5.0923943519592285,0.0017729495884850621,chunk_0
weight_test5.0,0,0.8,0.8,0.1,5.910589218139648,6.629724025726318,2.0241193771362305,2.113233804702759,0.0018693414749577641,chunk_0
weight_test5.0,0,0.8,0.8,0.5,4.5212273597717285,6.790097296237946,2.0304057598114014,2.6373305320739746,0.001825613435357809,chunk_0
weight_test5.0,0,0.8,0.8,1.0,3.396543025970459,5.594372034072876,2.7775301933288574,4.896303176879883,0.001826456398703158,chunk_0
weight_test5.0,0,0.8,0.8,1.5,2.5183348655700684,3.6158416867256165,3.0405819416046143,6.0167646408081055,0.0018401856068521738,chunk_0
weight_test5.0,0,0.8,1.0,0.1,6.435649871826172,7.349216103553772,2.307516098022461,2.3904638290405273,0.0018840880366042256,chunk_0
weight_test5.0,0,0.8,1.0,0.5,4.34411096572876,7.347557246685028,2.6932387351989746,3.8249244689941406,0.0018430128693580627,chunk_0
weight_test5.0,0,0.8,1.0,1.0,3.8510570526123047,5.875183045864105,2.9387567043304443,5.196634769439697,0.0018814920913428068,chunk_0
weight_test5.0,0,0.8,1.0,1.5,3.8049368858337402,5.031468152999878,3.487955331802368,7.013267517089844,0.00184468156658113,chunk_0
weight_test5.0,0,0.95,0.6,0.1,5.459153175354004,5.732245087623596,2.4734599590301514,2.6149322986602783,0.002238532528281212,chunk_0
weight_test5.0,0,0.95,0.6,0.5,4.295767307281494,6.344505131244659,2.4783945083618164,3.3539764881134033,0.0021424666047096252,chunk_0
weight_test5.0,0,0.95,0.6,1.0,2.4854679107666016,3.7077693939208984,3.369335174560547,5.674465179443359,0.0022409202065318823,chunk_0
weight_test5.0,0,0.95,0.6,1.5,2.1940970420837402,3.3681212663650513,3.0759994983673096,5.528160095214844,0.002196486573666334,chunk_0
