config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
washout_x0.25,cel_sample,0,0.95,1.0,0.5,125,1500,500,6.282288551330566,90.01145732062666
washout_x0.25,local_sign+flat,0,0.95,1.0,0.5,125,1500,500,3.9724512100219727,110.23699441202027
washout_x0.25,local_sign+sample,0,0.95,1.0,0.5,125,1500,500,5.066742420196533,105.13423558208858
washout_x0.25,local_sign+binary,0,0.95,1.0,0.5,125,1500,500,5.306039810180664,102.44964233314282
washout_x0.25,global_sign_pres,0,0.95,1.0,0.5,125,1500,500,5.1711320877075195,106.68192757691405
washout_x0.25,binary+shuffle,0,0.95,1.0,0.5,125,1500,500,5.308745861053467,141.71926231751488
washout_x0.25,real,0,0.95,1.0,1.0,125,1500,500,3.720604658126831,86.50078433763656
washout_x0.25,shuffle_weights,0,0.95,1.0,1.0,125,1500,500,4.58784294128418,124.53979423643523
washout_x0.25,cel_randN,0,0.95,1.0,1.0,125,1500,500,7.750145435333252,96.84336160875057
washout_x0.25,er_randN,0,0.95,1.0,1.0,125,1500,500,10.95176887512207,102.75228651839514
washout_x0.25,ws_p01_randN,0,0.95,1.0,1.0,125,1500,500,10.498275756835938,103.27268196910293
washout_x0.25,conn_shuf,0,0.95,1.0,1.0,125,1500,500,4.44253396987915,96.51732763580813
washout_x0.25,local_sign,0,0.95,1.0,1.0,125,1500,500,4.2745466232299805,150.41125627924856
washout_x0.25,conn_shuf_only,0,0.95,1.0,1.0,125,1500,500,2.9628539085388184,78.38126677184687
washout_x0.25,cel_sample,0,0.95,1.0,1.0,125,1500,500,3.7243995666503906,90.64492416732372
washout_x0.25,local_sign+flat,0,0.95,1.0,1.0,125,1500,500,2.5765233039855957,86.59214331765014
washout_x0.25,local_sign+sample,0,0.95,1.0,1.0,125,1500,500,3.9702694416046143,89.26355032979639
washout_x0.25,local_sign+binary,0,0.95,1.0,1.0,125,1500,500,4.625591278076172,132.76069834607648
washout_x0.25,global_sign_pres,0,0.95,1.0,1.0,125,1500,500,4.435143947601318,102.24483808270435
washout_x0.25,binary+shuffle,0,0.95,1.0,1.0,125,1500,500,2.8034965991973877,66.27635068298581
t_train_x0.25,real,0,0.8,0.8,0.5,500,375,500,4.979256629943848,104.07443021604129
t_train_x0.25,shuffle_weights,0,0.8,0.8,0.5,500,375,500,5.534397125244141,142.39139355952352
t_train_x0.25,cel_randN,0,0.8,0.8,0.5,500,375,500,8.508453369140625,138.73250869084117
t_train_x0.25,er_randN,0,0.8,0.8,0.5,500,375,500,8.9517183303833,76.19780575355897
t_train_x0.25,ws_p01_randN,0,0.8,0.8,0.5,500,375,500,8.519355773925781,74.24127471847638
t_train_x0.25,conn_shuf,0,0.8,0.8,0.5,500,375,500,6.230203151702881,120.19191248683155
t_train_x0.25,local_sign,0,0.8,0.8,0.5,500,375,500,5.311858177185059,104.19643278052605
t_train_x0.25,conn_shuf_only,0,0.8,0.8,0.5,500,375,500,5.920271873474121,105.6324529260558
t_train_x0.25,cel_sample,0,0.8,0.8,0.5,500,375,500,5.534153461456299,112.29089185836052
t_train_x0.25,local_sign+flat,0,0.8,0.8,0.5,500,375,500,4.3711652755737305,109.19198508975792
t_train_x0.25,local_sign+sample,0,0.8,0.8,0.5,500,375,500,5.556107521057129,129.67243582039058
t_train_x0.25,local_sign+binary,0,0.8,0.8,0.5,500,375,500,3.730297565460205,84.53091023667787
t_train_x0.25,global_sign_pres,0,0.8,0.8,0.5,500,375,500,5.043503284454346,110.96987864018845
