mode,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src
real,140,1.05,1.0,0.5,0.1,6.070793151855469,8.85211055328339,6.283088207244873,9.560505867004395,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,1.0,1.0,0.0,5.141017913818359,9.163594964017548,5.641486167907715,10.651304244995117,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,1.0,1.0,0.1,4.336787223815918,6.266224384513407,6.4316229820251465,12.406147003173828,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,1.0,1.5,0.0,3.9642856121063232,6.393169986771454,5.742583274841309,12.424230575561523,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,140,1.05,1.0,1.5,0.1,4.227795124053955,5.798087645538508,6.582283973693848,14.475691795349121,0.0010774143738672137,0.32940608263015747,0.6587424543661793,14012346,chunk_14
real,141,0.6,0.6,0.1,0.0,5.273285388946533,5.887799720976602,2.0947248935699463,2.1629035472869873,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.6,0.1,0.1,5.217172622680664,5.797347488894458,2.1667656898498535,2.3021576404571533,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.6,0.5,0.0,4.967118263244629,7.403403593498297,2.4362943172454834,3.1704936027526855,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.6,0.5,0.1,4.527817249298096,5.897396994919404,2.7009994983673096,3.7248592376708984,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.6,1.0,0.0,3.5826022624969482,5.714918727970144,2.7556655406951904,4.398727893829346,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.6,1.0,0.1,3.481788396835327,5.1368416428576875,3.134425163269043,5.307985782623291,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.6,1.5,0.0,2.8168652057647705,4.612692675658309,2.897751808166504,5.217379093170166,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.6,1.5,0.1,2.930095672607422,4.1174670031764435,3.319892644882202,6.340036392211914,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.8,0.1,0.0,6.033828258514404,6.972348897464855,2.395322561264038,2.4782891273498535,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
real,141,0.6,0.8,0.1,0.1,5.932098388671875,6.806654697955764,2.4810752868652344,2.6384119987487793,0.0006156653980724514,0.3294062614440918,0.657565065114348,14112346,chunk_14
